month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,remaining_lease_years,price_per_sqft,storey_mid
2023-08,BUKIT MERAH,4 ROOM,105A,DEPOT RD,01 TO 03,92.0,Model A,2017,93 years 04 months,768000.0,93.33333333333331,775.5391713929451,2.0
2023-08,CENTRAL AREA,4 ROOM,8,TG PAGAR PLAZA,22 TO 24,83.0,Improved,1980,55 years 10 months,750000.0,55.833333333333336,839.4861136124689,23.0
2023-08,BUKIT MERAH,4 ROOM,95A,HENDERSON RD,34 TO 36,93.0,Model A,2019,94 years 11 months,1080000.0,94.91666666666669,1078.8750569780889,35.0
2023-08,BUKIT MERAH,4 ROOM,13,CANTONMENT CL,13 TO 15,90.0,Model A,2003,78 years 06 months,908888.0,78.5,938.2059992712266,14.0
2023-09,BUKIT MERAH,4 ROOM,80A,TELOK BLANGAH ST 31,07 TO 09,95.0,Premium Apartment,2013,89 years,880000.0,,860.5763612386628,8.0
2023-10,BUKIT MERAH,4 ROOM,127A,KIM TIAN RD,22 TO 24,93.0,Model A,2013,88 years 04 months,951000.0,88.33333333333333,950.0094251723727,23.0
2023-10,QUEENSTOWN,4 ROOM,32,GHIM MOH LINK,04 TO 06,93.0,Model A,2018,93 years 08 months,933000.0,93.66666666666669,932.028174222738,5.0
2023-10,BUKIT MERAH,4 ROOM,95A,HENDERSON RD,31 TO 33,83.0,Model A,2019,94 years 08 months,938000.0,94.66666666666669,1049.917299424661,32.0
2023-10,CENTRAL AREA,4 ROOM,233,BAIN ST,19 TO 21,82.0,Improved,1980,55 years 08 months,700000.0,55.666666666666664,793.0754992013731,20.0
2023-11,QUEENSTOWN,4 ROOM,86,DAWSON RD,28 TO 30,87.0,Premium Apartment,2016,91 years 10 months,970000.0,91.83333333333331,1035.8165058534846,29.0
2023-11,BUKIT MERAH,4 ROOM,90A,TELOK BLANGAH ST 31,22 TO 24,93.0,Model A,2018,94 years 02 months,880000.0,94.16666666666669,879.0833797599244,23.0
2023-11,BUKIT MERAH,4 ROOM,50,TELOK BLANGAH DR,04 TO 06,98.0,New Generation,1978,53 years 08 months,618000.0,53.666666666666664,585.8585130835098,5.0
2023-11,QUEENSTOWN,4 ROOM,22,GHIM MOH LINK,22 TO 24,92.0,Model A,2013,88 years 06 months,850000.0,88.5,858.3441350052127,23.0
2023-11,QUEENSTOWN,4 ROOM,184,STIRLING RD,19 TO 21,94.0,Model A,2000,76 years 02 months,875000.0,76.16666666666667,864.7897730653269,20.0
2023-12,BUKIT MERAH,4 ROOM,75B,REDHILL RD,22 TO 24,100.0,Model A,2005,81 years 01 month,960000.0,81.08333333333333,891.8700471018869,23.0
2023-12,BUKIT MERAH,4 ROOM,23,JLN MEMBINA,07 TO 09,90.0,Model A,2003,78 years 08 months,900000.0,78.66666666666667,929.0312990644657,8.0
2023-12,BUKIT MERAH,4 ROOM,40,JLN RUMAH TINGGI,13 TO 15,100.0,Model A,1997,72 years 07 months,768888.0,72.58333333333333,714.3210174750789,14.0
2023-12,BUKIT MERAH,4 ROOM,8A,BOON TIONG RD,07 TO 09,100.0,Model A,2005,80 years 10 months,830000.0,80.83333333333333,771.0959782235064,8.0
2024-01,CENTRAL AREA,4 ROOM,663,BUFFALO RD,10 TO 12,82.0,Improved,1982,57 years 05 months,540000.0,57.416666666666664,611.8010993839164,11.0
2024-01,BUKIT MERAH,4 ROOM,92B,TELOK BLANGAH ST 31,22 TO 24,93.0,Model A,2018,94 years,915000.0,,914.0469232731032,23.0
2024-01,BUKIT MERAH,4 ROOM,56,TELOK BLANGAH HTS,07 TO 09,91.0,New Generation,1976,51 years 08 months,580000.0,51.666666666666664,592.1298389641648,8.0
2024-01,BUKIT MERAH,4 ROOM,126C,KIM TIAN RD,22 TO 24,93.0,Model A,2013,88 years 02 months,935888.0,88.16666666666667,934.9131660417682,23.0
2024-01,QUEENSTOWN,4 ROOM,23B,QUEEN'S CL,07 TO 09,89.0,Improved,1973,48 years 05 months,500000.0,48.416666666666664,521.9276961036323,8.0
2024-01,BUKIT MERAH,4 ROOM,90B,TELOK BLANGAH ST 31,04 TO 06,93.0,Model A,2018,93 years 11 months,888000.0,93.91666666666669,887.0750468486509,5.0
2024-01,BUKIT MERAH,4 ROOM,57,TELOK BLANGAH HTS,04 TO 06,91.0,New Generation,1976,51 years 09 months,575000.0,51.75,587.0252713868875,5.0
2024-01,QUEENSTOWN,4 ROOM,61B,STRATHMORE AVE,25 TO 27,94.0,Model A,2011,86 years 07 months,920888.0,86.58333333333333,910.1423137583804,26.0
2024-01,QUEENSTOWN,4 ROOM,23,GHIM MOH LINK,10 TO 12,87.0,Model A,2013,88 years 04 months,888000.0,88.33333333333333,948.252636286489,11.0
2024-01,CENTRAL AREA,4 ROOM,8,TG PAGAR PLAZA,16 TO 18,83.0,Improved,1980,55 years 04 months,755000.0,55.333333333333336,845.0826877032187,17.0
2024-01,QUEENSTOWN,4 ROOM,31,GHIM MOH LINK,04 TO 06,93.0,Model A,2018,93 years 05 months,845000.0,93.41666666666669,844.1198362467455,5.0
2024-01,QUEENSTOWN,4 ROOM,28B,DOVER CRES,13 TO 15,88.0,Model A,2012,87 years 02 months,808000.0,87.16666666666667,853.0196473228275,14.0
2024-01,BUKIT MERAH,4 ROOM,27A,JLN MEMBINA,07 TO 09,90.0,Model A,2008,84 years 01 month,870000.0,84.08333333333333,898.06358909565,8.0
2024-01,BUKIT MERAH,4 ROOM,119C,KIM TIAN RD,13 TO 15,92.0,Model A,2003,78 years 05 months,860000.0,78.41666666666667,868.4423012993917,14.0
2024-02,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,04 TO 06,94.0,Type S1,2011,85 years 11 months,1130000.0,85.91666666666667,1116.8142212157936,5.0
2024-02,QUEENSTOWN,4 ROOM,129,CLARENCE LANE,16 TO 18,105.0,Model A,1996,71 years 06 months,1000000.0,71.5,884.7917133947291,17.0
2024-02,QUEENSTOWN,4 ROOM,48,STRATHMORE AVE,13 TO 15,90.0,Model A,2006,81 years 11 months,855000.0,81.91666666666667,882.5797341112423,14.0
2024-02,CENTRAL AREA,4 ROOM,53,CHIN SWEE RD,04 TO 06,77.0,Improved,1974,49 years 06 months,500000.0,49.5,603.267077314588,5.0
2024-02,QUEENSTOWN,4 ROOM,29,GHIM MOH LINK,10 TO 12,93.0,Model A,2018,93 years 04 months,985000.0,93.33333333333331,983.9740102994608,11.0
2024-02,QUEENSTOWN,4 ROOM,28,GHIM MOH LINK,04 TO 06,93.0,Model A,2013,88 years 03 months,820000.0,88.25,819.145876594475,5.0
2024-02,QUEENSTOWN,4 ROOM,86,DAWSON RD,40 TO 42,83.0,Premium Apartment,2016,91 years 06 months,1080000.0,91.5,1208.8600036019552,41.0
2024-02,QUEENSTOWN,4 ROOM,22,GHIM MOH LINK,25 TO 27,93.0,Model A,2013,88 years 03 months,1030000.0,88.25,1028.9271376735478,26.0
2024-02,BUKIT MERAH,4 ROOM,113,BT PURMEI RD,01 TO 03,103.0,Model A,1984,59 years 10 months,560000.0,59.833333333333336,505.1043956078648,2.0
2024-02,BEDOK,4 ROOM,187A,BEDOK NTH ST 4,04 TO 06,93.0,Model A,2018,93 years 11 months,740000.0,93.91666666666669,739.2292057072091,5.0
2024-02,BUKIT MERAH,4 ROOM,93A,TELOK BLANGAH ST 31,22 TO 24,93.0,Model A,2018,93 years 11 months,899000.0,93.91666666666669,898.06358909565,23.0
2024-02,QUEENSTOWN,4 ROOM,23,DOVER CRES,07 TO 09,88.0,Improved,1976,51 years 05 months,485000.0,51.416666666666664,512.0229318707566,8.0
2024-03,CENTRAL AREA,4 ROOM,26,JLN BERSEH,13 TO 15,87.0,Improved,1979,54 years 04 months,600000.0,54.333333333333336,640.7112407341141,14.0
2024-03,QUEENSTOWN,4 ROOM,61A,STRATHMORE AVE,04 TO 06,96.0,Model A,2011,86 years 06 months,905000.0,86.5,875.8055475555639,5.0
2024-03,BUKIT MERAH,4 ROOM,9B,BOON TIONG RD,25 TO 27,92.0,Model A,2016,90 years 11 months,1188000.0,90.91666666666669,1199.662155748462,26.0
2024-03,CENTRAL AREA,4 ROOM,661,BUFFALO RD,07 TO 09,82.0,Improved,1982,57 years 03 months,555000.0,57.25,628.795574366803,8.0
2024-03,QUEENSTOWN,4 ROOM,61A,STRATHMORE AVE,19 TO 21,98.0,Model A,2011,86 years 06 months,950000.0,86.5,900.5915654196349,20.0
2024-03,BUKIT MERAH,4 ROOM,48,LENGKOK BAHRU,10 TO 12,84.0,Simplified,1986,61 years 05 months,610000.0,61.416666666666664,674.6536814634809,11.0
2024-03,CENTRAL AREA,4 ROOM,232,BAIN ST,07 TO 09,82.0,Improved,1980,55 years 03 months,700000.0,55.25,793.0754992013731,8.0
2024-03,CENTRAL AREA,4 ROOM,1A,CANTONMENT RD,46 TO 48,97.0,Type S1,2011,85 years 10 months,1370000.0,85.83333333333333,1312.1369894003276,47.0
2024-03,BUKIT MERAH,4 ROOM,47,LENGKOK BAHRU,04 TO 06,103.0,Model A,1984,59 years 05 months,650000.0,59.416666666666664,586.2818877591287,5.0
2024-03,CENTRAL AREA,4 ROOM,642,ROWELL RD,19 TO 21,111.0,Model A,1984,58 years 11 months,788888.0,58.916666666666664,660.2717508615929,20.0
2024-03,BUKIT MERAH,4 ROOM,25A,JLN MEMBINA,13 TO 15,90.0,Model A,2008,83 years 07 months,970000.0,83.58333333333333,1001.2892889917016,14.0
2024-03,BUKIT MERAH,4 ROOM,127D,KIM TIAN RD,19 TO 21,93.0,Model A,2013,88 years,938000.0,,937.022966153192,20.0
2024-03,QUEENSTOWN,4 ROOM,168A,QUEENSWAY,04 TO 06,84.0,Improved,1974,49 years 04 months,431000.0,49.333333333333336,476.6815355914103,5.0
2024-03,CENTRAL AREA,4 ROOM,1G,CANTONMENT RD,31 TO 33,95.0,Type S1,2011,85 years 10 months,1350000.0,85.83333333333333,1320.2023723547668,32.0
2024-03,BUKIT MERAH,4 ROOM,90A,TELOK BLANGAH ST 31,01 TO 03,93.0,Model A,2018,93 years 10 months,850000.0,93.83333333333331,849.1146281771996,2.0
2024-03,CENTRAL AREA,4 ROOM,53,CHIN SWEE RD,04 TO 06,77.0,Improved,1974,49 years 05 months,510000.0,49.416666666666664,615.3324188608798,5.0
2024-04,QUEENSTOWN,4 ROOM,86,DAWSON RD,10 TO 12,83.0,Premium Apartment,2016,91 years 05 months,923000.0,91.41666666666669,1033.1275771524115,11.0
2024-04,QUEENSTOWN,4 ROOM,30,GHIM MOH LINK,37 TO 39,93.0,Model A,2018,93 years 03 months,992000.0,93.25,990.9667190020964,38.0
2024-04,CENTRAL AREA,4 ROOM,233,BAIN ST,13 TO 15,82.0,Improved,1980,55 years 02 months,770000.0,55.166666666666664,872.3830491215103,14.0
2024-04,BUKIT MERAH,4 ROOM,90A,TELOK BLANGAH ST 31,13 TO 15,93.0,Model A,2018,93 years 09 months,950000.0,93.75,949.010466786282,14.0
2024-04,BUKIT MERAH,4 ROOM,90A,TELOK BLANGAH ST 31,28 TO 30,93.0,Model A,2018,93 years 09 months,970000.0,93.75,968.9896345080984,29.0
2024-04,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,10 TO 12,90.0,Model A,2008,83 years 05 months,912000.0,83.41666666666667,941.4183830519916,11.0
2024-04,CENTRAL AREA,4 ROOM,232,BAIN ST,16 TO 18,82.0,Improved,1980,55 years 02 months,765000.0,55.166666666666664,866.7182241272149,17.0
2024-04,CENTRAL AREA,4 ROOM,663,BUFFALO RD,07 TO 09,85.0,Improved,1982,57 years 02 months,570000.0,57.166666666666664,622.9974593726416,8.0
2024-04,BUKIT MERAH,4 ROOM,127D,KIM TIAN RD,01 TO 03,88.0,Model A,2013,88 years,845000.0,,892.081190578947,2.0
2024-05,CENTRAL AREA,4 ROOM,662,BUFFALO RD,19 TO 21,85.0,Improved,1982,57 years 01 month,598880.0,57.083333333333336,654.5626639808554,20.0
2024-05,QUEENSTOWN,4 ROOM,15,GHIM MOH RD,04 TO 06,82.0,Improved,1977,51 years 09 months,550000.0,51.75,623.1307493725074,5.0
2024-05,CENTRAL AREA,4 ROOM,632,VEERASAMY RD,19 TO 21,101.0,Model A,1985,60 years 04 months,785000.0,60.333333333333336,722.068880956045,20.0
2024-05,QUEENSTOWN,4 ROOM,129,CLARENCE LANE,13 TO 15,103.0,Model A,1996,71 years 04 months,988000.0,71.33333333333333,891.1484693938758,14.0
2024-05,CENTRAL AREA,4 ROOM,1B,CANTONMENT RD,10 TO 12,93.0,Type S1,2011,85 years 09 months,1248888.0,85.75,1247.587140888196,11.0
2024-06,CENTRAL AREA,4 ROOM,26,JLN BERSEH,13 TO 15,87.0,Improved,1979,54 years 01 month,635000.0,54.083333333333336,678.0860631102707,14.0
2024-06,CENTRAL AREA,4 ROOM,1G,CANTONMENT RD,43 TO 45,94.0,Type S1,2011,85 years 08 months,1365000.0,85.66666666666667,1349.07204598191,44.0
2024-06,CENTRAL AREA,4 ROOM,634,VEERASAMY RD,10 TO 12,111.0,Model A,1985,60 years 04 months,760000.0,60.333333333333336,636.0935020621566,11.0
2024-06,QUEENSTOWN,4 ROOM,32,GHIM MOH LINK,19 TO 21,93.0,Model A,2018,93 years 01 month,1070000.0,93.08333333333331,1068.8854731171807,20.0
2024-06,BUKIT MERAH,4 ROOM,93A,TELOK BLANGAH ST 31,16 TO 18,93.0,Model A,2018,93 years 07 months,930000.0,93.58333333333331,929.0312990644657,17.0
2024-06,CENTRAL AREA,4 ROOM,671B,KLANG LANE,01 TO 03,75.0,Model A,2003,77 years 09 months,590000.0,77.75,730.8379552640462,2.0
2024-06,BUKIT MERAH,4 ROOM,105A,DEPOT RD,07 TO 09,92.0,Model A,2017,92 years 06 months,838000.0,92.5,846.226335452198,8.0
2024-06,QUEENSTOWN,4 ROOM,28B,DOVER CRES,16 TO 18,95.0,Model A,2012,86 years 10 months,880000.0,86.83333333333333,860.5763612386628,17.0
2024-06,CENTRAL AREA,4 ROOM,262,WATERLOO ST,16 TO 18,82.0,Improved,1978,53 years 04 months,660000.0,53.333333333333336,747.7568992470088,17.0
2024-06,BUKIT MERAH,4 ROOM,131C,KIM TIAN RD,19 TO 21,86.0,Model A,2002,76 years 07 months,850000.0,76.58333333333333,918.22860954046,20.0
2024-06,CENTRAL AREA,4 ROOM,53,CHIN SWEE RD,10 TO 12,77.0,Improved,1974,49 years 02 months,520000.0,49.166666666666664,627.3977604071715,11.0
2024-07,BUKIT MERAH,4 ROOM,105A,DEPOT RD,07 TO 09,92.0,Model A,2017,92 years 05 months,805000.0,92.41666666666669,812.9023866814074,8.0
2024-07,BUKIT MERAH,4 ROOM,53,HAVELOCK RD,19 TO 21,94.0,Model A,2013,87 years 11 months,1050000.0,87.91666666666667,1037.7477276783925,20.0
2024-07,CENTRAL AREA,4 ROOM,7,TG PAGAR PLAZA,04 TO 06,83.0,Improved,1980,54 years 11 months,780000.0,54.916666666666664,873.0655581569677,5.0
2024-07,QUEENSTOWN,4 ROOM,30,GHIM MOH LINK,28 TO 30,93.0,Model A,2018,93 years,1000000.0,,998.9583860908232,29.0
2024-07,BUKIT MERAH,4 ROOM,58,TELOK BLANGAH HTS,04 TO 06,91.0,New Generation,1976,51 years 03 months,560888.0,51.25,572.6181398567801,5.0
2024-07,CENTRAL AREA,4 ROOM,1E,CANTONMENT RD,37 TO 39,95.0,Type S1,2011,85 years 07 months,1400000.0,85.58333333333333,1369.0987565160544,38.0
2024-07,BUKIT MERAH,4 ROOM,75C,REDHILL RD,13 TO 15,100.0,Model A,2007,81 years 07 months,950000.0,81.58333333333333,882.5797341112423,14.0
2024-07,BUKIT MERAH,4 ROOM,90A,TELOK BLANGAH ST 31,04 TO 06,93.0,Model A,2018,93 years 06 months,900000.0,93.5,899.0625474817408,5.0
2024-07,BUKIT MERAH,4 ROOM,63B,LENGKOK BAHRU,07 TO 09,100.0,Model A,2001,76 years 05 months,883888.0,76.41666666666667,821.1596168674923,8.0
2024-07,CENTRAL AREA,4 ROOM,662,BUFFALO RD,13 TO 15,91.0,Improved,1982,56 years 10 months,602000.0,56.833333333333336,614.5899363041849,14.0
2024-07,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,28 TO 30,90.0,Model A,2008,83 years 02 months,1001000.0,83.16666666666667,1033.2892559594775,29.0
2024-07,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,25 TO 27,85.0,Model A,2008,83 years 02 months,925000.0,83.16666666666667,1011.0046489819184,26.0
2024-07,BUKIT MERAH,4 ROOM,27A,JLN MEMBINA,16 TO 18,90.0,Model A,2008,83 years 06 months,875000.0,83.5,903.2248740904524,17.0
2024-08,BUKIT MERAH,4 ROOM,65,TELOK BLANGAH DR,07 TO 09,92.0,New Generation,1978,53 years 01 month,618000.0,53.083333333333336,624.0666769802606,8.0
2024-08,CENTRAL AREA,4 ROOM,334,KRETA AYER RD,19 TO 21,83.0,Improved,1981,55 years 08 months,835000.0,55.666666666666664,934.6278731552152,20.0
2024-08,QUEENSTOWN,4 ROOM,15,GHIM MOH RD,10 TO 12,82.0,Improved,1977,51 years 06 months,593000.0,51.5,671.8482443234489,11.0
2024-08,CENTRAL AREA,4 ROOM,26,JLN BERSEH,07 TO 09,87.0,Improved,1979,53 years 11 months,600000.0,53.916666666666664,640.7112407341141,8.0
2024-08,CENTRAL AREA,4 ROOM,7,TG PAGAR PLAZA,25 TO 27,83.0,Improved,1980,54 years 10 months,830000.0,54.833333333333336,929.0312990644657,26.0
2024-08,QUEENSTOWN,4 ROOM,27,GHIM MOH LINK,34 TO 36,87.0,Model A,2013,87 years 09 months,937000.0,87.75,1000.5773876131084,35.0
2024-08,BUKIT MERAH,4 ROOM,106B,DEPOT RD,16 TO 18,100.0,Model A,2000,75 years,750000.0,,696.7734742983492,17.0
2024-08,BUKIT MERAH,4 ROOM,4B,BOON TIONG RD,19 TO 21,100.0,Model A,2005,80 years 03 months,988000.0,80.25,917.882923475692,20.0
2024-09,CENTRAL AREA,4 ROOM,26,JLN BERSEH,10 TO 12,87.0,Improved,1979,53 years 11 months,638888.0,53.916666666666664,682.2378719502278,11.0
2024-09,CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,37 TO 39,95.0,Type S1,2011,85 years 05 months,1400000.0,85.41666666666667,1369.0987565160544,38.0
2024-09,QUEENSTOWN,4 ROOM,51,STRATHMORE AVE,01 TO 03,85.0,Model A,2006,81 years 02 months,850000.0,81.16666666666667,929.0312990644657,2.0
2024-09,CENTRAL AREA,4 ROOM,671B,KLANG LANE,01 TO 03,75.0,Model A,2003,77 years 06 months,633000.0,77.5,784.1024164104089,2.0
2024-09,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,49 TO 51,94.0,Type S1,2011,85 years 05 months,1408000.0,85.41666666666667,1391.5702862582632,50.0
2024-09,CENTRAL AREA,4 ROOM,1D,CANTONMENT RD,10 TO 12,93.0,Type S1,2011,85 years 05 months,1210000.0,85.41666666666667,1208.739647169896,11.0
2024-09,BUKIT MERAH,4 ROOM,118D,JLN MEMBINA,13 TO 15,92.0,Model A,2003,77 years 05 months,840000.0,77.41666666666667,848.2459687110338,14.0
2024-09,BUKIT MERAH,4 ROOM,104,HENDERSON CRES,07 TO 09,74.0,Standard,1970,44 years 11 months,445000.0,44.916666666666664,558.6742271401178,8.0
2024-09,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,10 TO 12,90.0,Model A,2008,83 years,930000.0,,959.999009033281,11.0
2024-09,QUEENSTOWN,4 ROOM,31,GHIM MOH LINK,28 TO 30,93.0,Model A,2018,92 years 10 months,1033800.0,92.83333333333331,1032.7231795406929,29.0
2024-09,BUKIT MERAH,4 ROOM,95A,HENDERSON RD,04 TO 06,83.0,Model A,2019,93 years 09 months,938000.0,93.75,1049.917299424661,5.0
2024-09,BUKIT MERAH,4 ROOM,69,TELOK BLANGAH HTS,10 TO 12,91.0,New Generation,1978,52 years 05 months,620000.0,52.416666666666664,632.9663795823831,11.0
2024-09,BUKIT MERAH,4 ROOM,56,TELOK BLANGAH HTS,04 TO 06,91.0,New Generation,1976,51 years 01 month,600888.0,51.083333333333336,613.4546804749983,5.0
2024-09,BUKIT MERAH,4 ROOM,106,HENDERSON CRES,10 TO 12,81.0,Improved,1975,49 years 05 months,500000.0,49.416666666666664,573.4761105336206,11.0
2024-09,QUEENSTOWN,4 ROOM,90,TANGLIN HALT RD,40 TO 42,90.0,Model A,2008,83 years,1100000.0,,1135.482698856569,41.0
2024-10,BUKIT MERAH,4 ROOM,70B,TELOK BLANGAH HTS,01 TO 03,93.0,Model A,2017,91 years 08 months,805000.0,91.66666666666669,804.1615008031126,2.0
